U I Ig I' I'g I'' I''g
-29.600000 -3.719806 -3.713203 0.088808 0.090668 -0.006114 -0.007053
-29.500000 -3.705401 -3.704323 0.088808 0.090056 -0.006114 -0.006734
-29.400000 -3.690275 -3.695442 0.088808 0.089445 -0.006114 -0.006415
-29.299999 -3.681264 -3.686561 0.088808 0.088834 -0.006114 -0.006096
-29.200001 -3.650561 -3.677680 0.088808 0.088222 -0.006114 -0.005777
-29.100000 -3.678456 -3.668800 0.088440 0.087611 -0.006114 -0.005459
-29.000000 -3.633829 -3.659919 0.091629 0.087000 -0.006114 -0.005140
-28.900000 -3.645975 -3.650596 0.090322 0.086388 -0.006355 -0.004821
-28.799999 -3.646415 -3.642009 0.082609 0.085777 -0.004607 -0.004502
-28.700001 -3.638534 -3.633910 0.081733 0.085455 -0.003622 -0.004183
-28.600000 -3.630861 -3.625561 0.083013 0.085066 -0.001734 -0.003864
-28.500000 -3.624209 -3.617091 0.092928 0.085050 -0.001769 -0.003744
-28.400000 -3.596605 -3.607072 0.099955 0.084616 -0.006182 -0.004057
-28.299999 -3.593374 -3.597508 0.092635 0.083978 -0.003644 -0.004443
-28.200001 -3.605778 -3.588838 0.073425 0.083908 -0.000613 -0.004250
-28.100000 -3.574132 -3.582385 0.072465 0.083755 -0.001593 -0.003641
-28.000000 -3.581125 -3.574204 0.075567 0.083570 -0.002687 -0.003157
-27.900000 -3.567047 -3.567389 0.071573 0.083190 -0.005478 -0.002552
-27.799999 -3.576778 -3.559545 0.083368 0.082608 -0.003066 -0.001972
-27.700001 -3.560066 -3.551002 0.082058 0.082631 0.001484 -0.001766
-27.600000 -3.536296 -3.543149 0.080635 0.082779 0.001524 -0.001531
-27.500000 -3.541933 -3.534692 0.088470 0.082780 -0.003604 -0.001561
-27.400000 -3.494995 -3.525834 0.079694 0.081968 -0.012679 -0.001706
-27.299999 -3.489426 -3.518641 0.075407 0.080466 -0.014217 -0.001257
-27.200001 -3.499209 -3.510370 0.087330 0.079485 -0.002066 -0.001072
-27.100000 -3.515050 -3.501471 0.085607 0.079977 0.006675 -0.001302
-27.000000 -3.506642 -3.493270 0.084554 0.080537 0.004050 -0.001265
-26.900000 -3.490712 -3.484570 0.083637 0.080870 0.006598 -0.001133
-26.799999 -3.481255 -3.476628 0.078105 0.081768 0.005820 -0.000851
-26.700001 -3.467005 -3.468705 0.083093 0.081910 -0.000291 -0.000559
-26.600000 -3.473632 -3.460075 0.084846 0.081875 0.001333 -0.000657
-26.500000 -3.453269 -3.451852 0.083021 0.082070 -0.002381 -0.000814
-26.400000 -3.438174 -3.443616 0.075884 0.081447 -0.004806 -0.000494
-26.299999 -3.445559 -3.436663 0.068412 0.081345 0.003250 0.000411
-26.200001 -3.419682 -3.429629 0.072038 0.081841 0.000236 0.001421
-26.100000 -3.418898 -3.422048 0.083757 0.081324 -0.005448 0.001561
-26.000000 -3.401912 -3.413141 0.084219 0.080993 -0.000813 0.001228
-25.900000 -3.398429 -3.405266 0.082564 0.081096 8.902177E-5 0.001185
-25.799999 -3.400275 -3.396433 0.090432 0.080993 0.000449 0.000586
-25.700001 -3.410382 -3.387458 0.086352 0.081222 0.003066 -0.000136
-25.600000 -3.378834 -3.379199 0.081307 0.081462 -0.000580 -0.000158
-25.500000 -3.363607 -3.371022 0.084742 0.081168 -0.001783 -0.000226
-25.400000 -3.368995 -3.362515 0.075379 0.081262 0.003128 0.000104
-25.299999 -3.348979 -3.355674 0.077558 0.081759 0.006313 0.000834
-25.200001 -3.341710 -3.346866 0.085820 0.082437 0.007005 0.000707
-25.100000 -3.340008 -3.338901 0.076467 0.082993 0.000864 0.000730
-25.000000 -3.327998 -3.331315 0.078656 0.082725 -0.000319 0.001262
-24.900000 -3.341264 -3.323028 0.086720 0.083024 0.003156 0.001146
-24.799999 -3.305216 -3.314269 0.081484 0.083071 -0.005987 0.000985
-24.700001 -3.292793 -3.306593 0.082904 0.081973 -0.009341 0.001272
-24.600000 -3.293569 -3.297615 0.088142 0.081501 -0.000741 0.001334
-24.500000 -3.301917 -3.289280 0.078675 0.081673 -0.000113 0.001335
-24.400000 -3.274614 -3.281537 0.084985 0.081560 0.004558 0.001328
-24.299999 -3.294510 -3.272380 0.086332 0.082581 0.010530 0.000980
-24.200001 -3.260596 -3.264397 0.082641 0.083295 0.000575 0.000559
